School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,F53,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE,latitude,longitude,ward,census_tract
2012-2013,District of Columbia Public Schools,Brookland EC at Bunker Hill,1,346,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20017,1401 Michigan Ave  NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,1401 MICHIGAN AVENUE NE,401300.77,141569.11,38.94201247,-76.98499564,Ward 5,9503,20017,286131,,100,DC Address,,38.94201247,-76.98499564,Ward 5,9503
2012-2013,District of Columbia Public Schools,Marshall ES,1,351,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20018,3100 Fort Lincoln Dr  NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3100 FORT LINCOLN DRIVE NE,403673.61,139937.34,38.92730628,-76.9576337,Ward 5,9000,20018,294553,,100,DC Address,,38.92730628,-76.9576337,Ward 5,9000
2012-2013,District of Columbia Public Schools,M C Terrell /McGogney ES,1,353,1100030,Special Education school,Special Education school,www.dcps.dc.gov,No,Open,NULL,Washington,20032,3301 Wheeler Rd SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3301 WHEELER ROAD SE,400512.16,130413.48,38.84151923,-76.99410056,Ward 8,9804,20032,294563,,100,DC Address,,38.84151923,-76.99410056,Ward 8,9804
2012-2013,District of Columbia Public Schools,Winston EC,1,355,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,3100 Erie St  SE,NULL,20020,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,3100 ERIE STREET SE,403226.53,132196.58,38.85757641,-76.96282605,Ward 7,7603,20020,294554,,100,DC Address,,38.85757641,-76.96282605,Ward 7,7603
2012-2013,District of Columbia Public Schools,Capitol Hill Montessori School at Logan,1,360,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,215 G Street NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,215 G STREET NE,399777.37,136742.12,38.89853031,-77.00256647,Ward 6,8301,20002,286687,,100,DC Address,,38.89853031,-77.00256647,Ward 6,8301
2012-2013,District of Columbia Public Schools,Benjamin Banneker HS,1,402,1100030,Magnet School,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,800 Euclid St  NW,NULL,20001,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,800 EUCLID STREET NW,397920.84,139551.17,38.92383276,-77.02397697,Ward 1,3500,20001,294496,,100,DC Address,,38.92383276,-77.02397697,Ward 1,3500
2012-2013,District of Columbia Public Schools,Browne EC,1,404,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,850 26th St  NE,NULL,20010,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,850 26TH STREET NE,402544.36,137194.17,38.90259888,-76.97066706,Ward 5,8904,20002,294501,,100,DC Address,,38.90259888,-76.97066706,Ward 5,8904
2012-2013,District of Columbia Public Schools,Deal MS,1,405,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20016,3815 Fort Dr  NW,NULL,20016,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,3815 FORT DRIVE NW,393481.78,142779.94,38.95289674,-77.07519907,Ward 3,1100,20016,277548,,100,DC Address,,38.95289674,-77.07519907,Ward 3,1100
2012-2013,District of Columbia Public Schools,Eliot Hine MS,1,407,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,1830 Constitution Ave  NE,NULL,20002,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,1830 CONSTITUTION AVENUE NE,401823.73,136065.31,38.89243149,-76.97897792,Ward 6,8002,20002,286499,,100,DC Address,,38.89243149,-76.97897792,Ward 6,8002
2012-2013,District of Columbia Public Schools,Francis Stevens EC,1,409,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20037,2425 N St  NW,NULL,20037,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,2425 N STREET NW,395461.95,137735.74,38.9074695,-77.052321,Ward 2,5500,20037,294544,,100,DC Address,,38.9074695,-77.052321,Ward 2,5500
2012-2013,District of Columbia Public Schools,Hart MS,1,413,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,601 Mississippi Ave  SE,NULL,20032,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,601 MISSISSIPPI AVENUE SE,400244.94,129993.71,38.83773787,-76.99717875,Ward 8,9804,20032,5534,,100,DC Address,,38.83773787,-76.99717875,Ward 8,9804
2012-2013,District of Columbia Public Schools,Jefferson MS,1,415,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20024,801 7th St  SW,NULL,20024,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,NULL,801 7TH STREET SW,398012.08,134671.03,38.87987093,-77.02291066,Ward 6,10200,20024,276812,,100,DC Address,,38.87987093,-77.02291066,Ward 6,10200
2012-2013,District of Columbia Public Schools,Johnson  John Hayden MS,1,416,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,1400 Bruce Pl  SE,NULL,20020,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,1400 BRUCE PLACE SE,401414.57,131503.42,38.85133691,-76.98370368,Ward 8,7404,20020,294520,,100,DC Address,,38.85133691,-76.98370368,Ward 8,7404
2012-2013,District of Columbia Public Schools,Kramer MS,1,417,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,1700 Q St  SE,NULL,20020,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,1700 Q STREET SE,401720.71,133718.02,38.8712864,-76.9801713,Ward 8,7601,20020,289467,,100,DC Address,,38.8712864,-76.9801713,Ward 8,7601
2012-2013,District of Columbia Public Schools,MacFarland MS,1,420,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,4400 Iowa Ave  NW,NULL,20011,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,4400 IOWA AVENUE NW,397592.04,141746.55,38.94360856,-77.02777641,Ward 4,2501,20011,294595,,100,DC Address,,38.94360856,-77.02777641,Ward 4,2501
2012-2013,District of Columbia Public Schools,Kelly Miller MS,1,421,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,301 49th St  NE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,301 49TH STREET NE,405859.65,136165.39,38.89331541,-76.93245515,Ward 7,7804,20019,294476,,100,DC Address,,38.89331541,-76.93245515,Ward 7,7804
2012-2013,District of Columbia Public Schools,Ron Brown MS,1,425,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,4800 Meade St  NE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,4800 MEADE STREET NE,405836.91,137635.93,38.90656271,-76.93270478,Ward 7,7806,20019,294601,,100,DC Address,,38.90656271,-76.93270478,Ward 7,7806
2012-2013,District of Columbia Public Schools,Sousa MS,1,427,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,3650 Ely Pl SE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,3650 ELY PLACE SE,404064.1,135118.46,38.88389441,-76.95315884,Ward 7,7703,20019,294584,,100,DC Address,,38.88389441,-76.95315884,Ward 7,7703
2012-2013,District of Columbia Public Schools,Stuart Hobson MS (Capitol Hill Cluster),1,428,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20002,410 E St  NE,NULL,20002,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,410 E STREET NE,399999.62,136494.28,38.8962977,-77.00000438,Ward 6,8301,20002,294483,,100,DC Address,,38.8962977,-77.00000438,Ward 6,8301
2012-2013,District of Columbia Public Schools,Shaw MS at Garnet Patterson,1,432,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,2001 10th St  NW,NULL,20001,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,2001 10TH STREET NW,397767,138853.23,38.91754511,-77.02574879,Ward 1,4400,20001,294533,,100,DC Address,,38.91754511,-77.02574879,Ward 1,4400
2012-2013,District of Columbia Public Schools,Jefferson Middle School Academy,1,433,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20024,801 7th St SW,NULL,20024,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,NULL,801 7TH STREET SW,398012.08,134671.03,38.87987093,-77.02291066,Ward 6,10200,20024,276812,,100,DC Address,,38.87987093,-77.02291066,Ward 6,10200
2012-2013,District of Columbia Public Schools,Columbia Heights EC,1,442,1100030,Magnet School,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20010,3101 16th St  NW,NULL,20010,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,NULL,3101 16TH STREET NW,396890.8,140185.59,38.92954477,-77.03585831,Ward 1,2802,20010,234375,,100,DC Address,,38.92954477,-77.03585831,Ward 1,2802
2012-2013,District of Columbia Public Schools,Anacostia HS,1,450,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,1601 16th St  SE,NULL,20020,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,NULL,1601 16TH STREET SE,401468.56,133584.5,38.87008406,-76.98307725,Ward 8,7601,20020,155922,,100,DC Address,,38.87008406,-76.98307725,Ward 8,7601
