"","B11003_003E","B11003_001E","NAME","state","county","tract","block group"
"92","49","286","Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia","11","001","002001","1"
"93","83","300","Block Group 2, Census Tract 20.01, District of Columbia, District of Columbia","11","001","002001","2"
"94","30","245","Block Group 1, Census Tract 20.02, District of Columbia, District of Columbia","11","001","002002","1"
"95","30","243","Block Group 2, Census Tract 20.02, District of Columbia, District of Columbia","11","001","002002","2"
"96","86","236","Block Group 3, Census Tract 20.02, District of Columbia, District of Columbia","11","001","002002","3"
"97","29","297","Block Group 1, Census Tract 21.01, District of Columbia, District of Columbia","11","001","002101","1"
"98","49","129","Block Group 2, Census Tract 21.01, District of Columbia, District of Columbia","11","001","002101","2"
"99","58","351","Block Group 3, Census Tract 21.01, District of Columbia, District of Columbia","11","001","002101","3"
"100","9","74","Block Group 4, Census Tract 21.01, District of Columbia, District of Columbia","11","001","002101","4"
"101","47","195","Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia","11","001","002101","5"
"102","63","251","Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia","11","001","002102","1"
"103","0","108","Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia","11","001","002102","2"
"104","20","174","Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia","11","001","002102","3"
"105","0","154","Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia","11","001","002102","4"
"106","32","139","Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia","11","001","002102","5"
"107","70","157","Block Group 6, Census Tract 21.02, District of Columbia, District of Columbia","11","001","002102","6"
"108","142","408","Block Group 1, Census Tract 22.01, District of Columbia, District of Columbia","11","001","002201","1"
"109","13","314","Block Group 2, Census Tract 22.01, District of Columbia, District of Columbia","11","001","002201","2"
"110","92","162","Block Group 3, Census Tract 22.01, District of Columbia, District of Columbia","11","001","002201","3"
"111","93","194","Block Group 1, Census Tract 22.02, District of Columbia, District of Columbia","11","001","002202","1"
