School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
2012-2013,KIPP DC PCS,KIPP DC AIM PCS Academy PCS,129,116,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20020,2600 Douglass Rd SE,NULL,20020,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,2601 DOUGLASS ROAD SE,401078.58000000,132172.13000000,38.85736141,-76.98757335,Ward 8,007406,20020,276167,100.00000000,DC Address,
2012-2013,Potomac Lighthouse PCS,Potomac Lighthouse PCS,139,117,1100060,Regular school,Regular School,www.lighthouse-academies.org,Yes,Open,NULL,Washington,20017,4401 8th Street NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,4401 8TH STREET NE,400474.03000000,141675.39000000,38.94297070,-76.99453200,Ward 5,009504,20017,22543,100.00000000,DC Address,
2012-2013,KIPP DC PCS,KIPP DC WILL Academy PCS,129,121,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20001,421 P St NW,NULL,20001,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,421 P STREET NW,398428.65000000,138002.89000000,38.90988639,-77.01811734,Ward 6,004801,20001,294487,100.00000000,DC Address,
2012-2013,Septima Clark PCS,Septima Clark PCS,161,123,1100066,Regular school,Regular School,www.buildingexcelentschools.org,Yes,Open,NULL,Washington,20020,2501 Martin Luther King Jr Avenue SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,2501 MARTIN LUTHER KING JR AVENUE SE,400403.19000000,132438.56000000,38.85976209,-76.99535457,Ward 8,007401,20020,278172,100.00000000,DC Address,
2012-2013,Washington Latin PCS,Washington Latin PCS MS,151,125,1100019,Regular school,Regular School,www.latinpcs.org,Yes,Open,NULL,Washington,20011,4115 16th St NW,NULL,20011,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,4115 16TH STREET NW,396874.30000000,141487.48000000,38.94127252,-77.03605453,Ward 4,002502,20011,259140,100.00000000,DC Address,
2012-2013,Briya Public Charter School,Briya Public Charter School,119,126,1100016,Regular school,Regular School,http://briya.org/,Yes,Open,NULL,Washington,20009,2333 Ontario Rd NW,NULL,20009,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2333 ONTARIO ROAD NW,396548.08000000,139234.16000000,38.92097271,-77.03980610,Ward 1,003800,20009,284370,100.00000000,DC Address,
2012-2013,Cesar Chavez PCS,Cesar Chavez PCS Chavez Prep,109,127,1100005,Regular school,Regular School,www.chavezschools.org,Yes,Open,NULL,Washington,20010,770 Kenyon St NW,NULL,20010,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,770 KENYON STREET NW,397756.37000000,140192.11000000,38.92960614,-77.02587574,Ward 1,003100,20010,285409,100.00000000,DC Address,
2012-2013,Youthbuild PCS,Youthbuild PCS,131,128,1100059,Alternative Education School,Alternative Education School,www.youthbuildpcs.org,Yes,Open,NULL,Washington,20009,3014 14th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,3014 14TH STREET NW,397159.96000000,139985.56000000,38.92774375,-77.03275327,Ward 1,002802,20009,302258,100.00000000,DC Address,
2012-2013,D.C. Preparatory Academy PCS,D C  Preparatory Edgewood Elementary Campus PCS,115,130,1100048,Regular school,Regular School,www.dcprep.org,Yes,Open,NULL,Washington,20017,707 Edgewood St NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,707 EDGEWOOD STREET NE,400369.83000000,139600.22000000,38.92427699,-76.99573508,Ward 5,009204,20017,289577,100.00000000,DC Address,
2012-2013,Hope Community Academy PCS,Hope Community PCS Lamond Campus,121,131,1100051,Regular school,Regular School,www.hopecommunitycs.org,Yes,Open,NULL,Washington,20011,6200 Kansas Avenue NE,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,6200 KANSAS AVENUE NE,399254.07000000,144200.69000000,38.96571909,-77.00860715,Ward 4,009505,20011,304055,100.00000000,DC Address,
