school_code,school_name,cluster,count
141,AppleTree Early Learning Center PCS Riverside,Cluster 27,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 30,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 32,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 34,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 35,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 38,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 39,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 8,-1
141,AppleTree Early Learning Center PCS Riverside,Cluster 9,12
141,AppleTree Early Learning Center PCS Riverside,UNENCODABLE,-1
181,Arts and Technology PCS,Cluster 18,-1
181,Arts and Technology PCS,Cluster 19,-1
181,Arts and Technology PCS,Cluster 2,-1
181,Arts and Technology PCS,Cluster 21,-1
181,Arts and Technology PCS,Cluster 22,-1
181,Arts and Technology PCS,Cluster 23,-1
181,Arts and Technology PCS,Cluster 24,-1
181,Arts and Technology PCS,Cluster 25,-1
181,Arts and Technology PCS,Cluster 26,-1
181,Arts and Technology PCS,Cluster 28,-1
181,Arts and Technology PCS,Cluster 29,17
181,Arts and Technology PCS,Cluster 30,21
181,Arts and Technology PCS,Cluster 31,231
181,Arts and Technology PCS,Cluster 32,33
181,Arts and Technology PCS,Cluster 33,188
181,Arts and Technology PCS,Cluster 34,14
181,Arts and Technology PCS,Cluster 35,-1
181,Arts and Technology PCS,Cluster 36,-1
181,Arts and Technology PCS,Cluster 38,12
181,Arts and Technology PCS,Cluster 39,22
181,Arts and Technology PCS,Cluster 7,-1
181,Arts and Technology PCS,Cluster 8,-1
181,Arts and Technology PCS,Cluster 9,-1
181,Arts and Technology PCS,UNENCODABLE,37
452,Ballou HS,Cluster 17,-1
452,Ballou HS,Cluster 18,-1
452,Ballou HS,Cluster 19,-1
452,Ballou HS,Cluster 2,-1
452,Ballou HS,Cluster 20,-1
452,Ballou HS,Cluster 22,-1
452,Ballou HS,Cluster 23,-1
452,Ballou HS,Cluster 25,-1
452,Ballou HS,Cluster 26,-1
452,Ballou HS,Cluster 28,10
452,Ballou HS,Cluster 29,-1
452,Ballou HS,Cluster 30,-1
452,Ballou HS,Cluster 31,-1
452,Ballou HS,Cluster 32,-1
452,Ballou HS,Cluster 33,-1
452,Ballou HS,Cluster 34,13
452,Ballou HS,Cluster 35,-1
452,Ballou HS,Cluster 36,25
452,Ballou HS,Cluster 37,75
452,Ballou HS,Cluster 38,143
452,Ballou HS,Cluster 39,467
452,Ballou HS,Cluster 7,-1
452,Ballou HS,Cluster 8,-1
452,Ballou HS,Cluster 9,-1
452,Ballou HS,UNENCODABLE,35
462,Ballou STAY,Cluster 1,-1
462,Ballou STAY,Cluster 18,-1
462,Ballou STAY,Cluster 19,-1
462,Ballou STAY,Cluster 2,-1
462,Ballou STAY,Cluster 20,-1
462,Ballou STAY,Cluster 21,16
462,Ballou STAY,Cluster 22,11
462,Ballou STAY,Cluster 23,13
462,Ballou STAY,Cluster 24,-1
462,Ballou STAY,Cluster 25,18
462,Ballou STAY,Cluster 26,18
462,Ballou STAY,Cluster 27,-1
462,Ballou STAY,Cluster 28,26
462,Ballou STAY,Cluster 29,-1
462,Ballou STAY,Cluster 30,-1
462,Ballou STAY,Cluster 31,24
462,Ballou STAY,Cluster 32,29
462,Ballou STAY,Cluster 33,26
462,Ballou STAY,Cluster 34,47
462,Ballou STAY,Cluster 35,-1
462,Ballou STAY,Cluster 36,50
462,Ballou STAY,Cluster 37,42
462,Ballou STAY,Cluster 38,69
462,Ballou STAY,Cluster 39,215
462,Ballou STAY,Cluster 5,-1
462,Ballou STAY,Cluster 7,-1
462,Ballou STAY,Cluster 8,-1
462,Ballou STAY,Cluster 9,11
462,Ballou STAY,UNENCODABLE,25
204,Bancroft ES,Cluster 1,-1
204,Bancroft ES,Cluster 12,-1
204,Bancroft ES,Cluster 14,-1
204,Bancroft ES,Cluster 16,-1
204,Bancroft ES,Cluster 17,27
204,Bancroft ES,Cluster 18,61
204,Bancroft ES,Cluster 19,10
204,Bancroft ES,Cluster 2,343
204,Bancroft ES,Cluster 20,-1
204,Bancroft ES,Cluster 21,-1
204,Bancroft ES,Cluster 22,-1
204,Bancroft ES,Cluster 23,-1
204,Bancroft ES,Cluster 25,-1
204,Bancroft ES,Cluster 31,-1
204,Bancroft ES,Cluster 32,-1
204,Bancroft ES,Cluster 33,-1
204,Bancroft ES,Cluster 35,-1
204,Bancroft ES,Cluster 39,-1
204,Bancroft ES,Cluster 7,-1
204,Bancroft ES,Cluster 8,-1
204,Bancroft ES,UNENCODABLE,-1
205,Barnard ES,Cluster 1,-1
205,Barnard ES,Cluster 10,-1
205,Barnard ES,Cluster 11,-1
205,Barnard ES,Cluster 16,-1
205,Barnard ES,Cluster 17,28
205,Barnard ES,Cluster 18,322
205,Barnard ES,Cluster 19,118
205,Barnard ES,Cluster 2,13
205,Barnard ES,Cluster 20,-1
205,Barnard ES,Cluster 21,10
205,Barnard ES,Cluster 22,-1
205,Barnard ES,Cluster 23,-1
205,Barnard ES,Cluster 24,-1
205,Barnard ES,Cluster 25,-1
205,Barnard ES,Cluster 26,-1
205,Barnard ES,Cluster 28,-1
205,Barnard ES,Cluster 3,-1
205,Barnard ES,Cluster 30,-1
205,Barnard ES,Cluster 32,-1
205,Barnard ES,Cluster 33,-1
205,Barnard ES,Cluster 37,-1
205,Barnard ES,Cluster 38,-1
205,Barnard ES,Cluster 39,-1
205,Barnard ES,Cluster 6,-1
205,Barnard ES,Cluster 7,-1
205,Barnard ES,Cluster 8,-1
205,Barnard ES,Cluster 9,-1
205,Barnard ES,UNENCODABLE,34
3068,Basis DC PCS,Cluster 1,-1
3068,Basis DC PCS,Cluster 10,-1
3068,Basis DC PCS,Cluster 11,-1
3068,Basis DC PCS,Cluster 13,16
3068,Basis DC PCS,Cluster 14,14
3068,Basis DC PCS,Cluster 15,-1
3068,Basis DC PCS,Cluster 16,-1
3068,Basis DC PCS,Cluster 17,-1
3068,Basis DC PCS,Cluster 18,19
3068,Basis DC PCS,Cluster 19,-1
3068,Basis DC PCS,Cluster 2,16
3068,Basis DC PCS,Cluster 20,-1
3068,Basis DC PCS,Cluster 21,-1
3068,Basis DC PCS,Cluster 22,-1
3068,Basis DC PCS,Cluster 23,16
3068,Basis DC PCS,Cluster 24,-1
3068,Basis DC PCS,Cluster 25,40
3068,Basis DC PCS,Cluster 26,48
3068,Basis DC PCS,Cluster 27,-1
3068,Basis DC PCS,Cluster 28,-1
3068,Basis DC PCS,Cluster 29,-1
3068,Basis DC PCS,Cluster 3,-1
3068,Basis DC PCS,Cluster 30,-1
3068,Basis DC PCS,Cluster 31,-1
3068,Basis DC PCS,Cluster 32,-1
3068,Basis DC PCS,Cluster 33,15
3068,Basis DC PCS,Cluster 34,16
3068,Basis DC PCS,Cluster 35,10
3068,Basis DC PCS,Cluster 36,-1
3068,Basis DC PCS,Cluster 37,-1
3068,Basis DC PCS,Cluster 38,-1
3068,Basis DC PCS,Cluster 39,15
3068,Basis DC PCS,Cluster 4,10
3068,Basis DC PCS,Cluster 5,-1
3068,Basis DC PCS,Cluster 6,-1
3068,Basis DC PCS,Cluster 7,-1
3068,Basis DC PCS,Cluster 8,-1
3068,Basis DC PCS,Cluster 9,13
3068,Basis DC PCS,UNENCODABLE,40
206,Beers ES,Cluster 17,-1
206,Beers ES,Cluster 18,-1
206,Beers ES,Cluster 20,-1
206,Beers ES,Cluster 22,-1
206,Beers ES,Cluster 23,-1
206,Beers ES,Cluster 24,-1
206,Beers ES,Cluster 26,-1
206,Beers ES,Cluster 28,-1
206,Beers ES,Cluster 30,-1
206,Beers ES,Cluster 31,13
206,Beers ES,Cluster 32,27
206,Beers ES,Cluster 33,36
206,Beers ES,Cluster 34,102
206,Beers ES,Cluster 35,73
206,Beers ES,Cluster 36,34
206,Beers ES,Cluster 37,11
206,Beers ES,Cluster 38,28
206,Beers ES,Cluster 39,24
206,Beers ES,Cluster 8,-1
206,Beers ES,Cluster 9,-1
206,Beers ES,UNENCODABLE,16
402,Benjamin Banneker HS,Cluster 1,-1
402,Benjamin Banneker HS,Cluster 14,-1
402,Benjamin Banneker HS,Cluster 16,-1
402,Benjamin Banneker HS,Cluster 17,41
402,Benjamin Banneker HS,Cluster 18,55
402,Benjamin Banneker HS,Cluster 19,17
402,Benjamin Banneker HS,Cluster 2,27
402,Benjamin Banneker HS,Cluster 20,16
402,Benjamin Banneker HS,Cluster 21,17
402,Benjamin Banneker HS,Cluster 22,24
402,Benjamin Banneker HS,Cluster 23,-1
402,Benjamin Banneker HS,Cluster 24,-1
402,Benjamin Banneker HS,Cluster 25,13
402,Benjamin Banneker HS,Cluster 26,-1
402,Benjamin Banneker HS,Cluster 28,-1
402,Benjamin Banneker HS,Cluster 29,-1
402,Benjamin Banneker HS,Cluster 3,-1
402,Benjamin Banneker HS,Cluster 30,-1
402,Benjamin Banneker HS,Cluster 31,12
402,Benjamin Banneker HS,Cluster 32,12
402,Benjamin Banneker HS,Cluster 33,19
402,Benjamin Banneker HS,Cluster 34,18
402,Benjamin Banneker HS,Cluster 35,-1
402,Benjamin Banneker HS,Cluster 36,-1
402,Benjamin Banneker HS,Cluster 37,-1
402,Benjamin Banneker HS,Cluster 38,10
402,Benjamin Banneker HS,Cluster 39,19
402,Benjamin Banneker HS,Cluster 6,-1
402,Benjamin Banneker HS,Cluster 7,14
402,Benjamin Banneker HS,Cluster 8,-1
402,Benjamin Banneker HS,Cluster 9,-1
402,Benjamin Banneker HS,UNENCODABLE,-1
151,Booker T  Washington PCS,Cluster 17,10
151,Booker T  Washington PCS,Cluster 18,39
151,Booker T  Washington PCS,Cluster 19,11
151,Booker T  Washington PCS,Cluster 2,65
151,Booker T  Washington PCS,Cluster 20,-1
151,Booker T  Washington PCS,Cluster 21,23
